Time,Heart Rate
00:00:01,55
00:00:06,55
00:00:21,55
00:00:26,56
00:00:32,57
00:00:42,56
00:00:57,57
00:01:12,57
00:01:17,58
00:01:27,58
00:01:37,58
00:01:52,57
00:01:57,57
00:02:02,56
00:02:12,57
00:02:27,57
00:02:32,57
00:02:37,58
00:02:52,59
00:02:57,58
00:03:12,58
00:03:27,59
00:03:32,60
00:03:47,60
00:04:02,60
00:04:12,61
00:04:27,62
00:04:42,62
00:04:47,60
00:04:52,59
00:04:57,58
00:05:02,58
00:05:07,59
00:05:12,60
00:05:22,59
00:05:37,59
00:05:42,60
00:05:52,59
00:05:57,58
00:06:07,57
00:06:22,57
00:06:37,58
00:06:52,58
00:07:02,59
00:07:07,58
00:07:22,58
00:07:27,57
00:07:37,57
00:07:47,58
00:07:57,61
00:08:02,62
00:08:17,62
00:08:22,61
00:08:27,57
00:08:32,55
00:08:42,56
00:08:47,57
00:08:52,58
00:08:57,58
00:09:12,59
00:09:17,57
00:09:22,55
00:09:27,54
00:09:42,54
00:09:57,55
00:10:12,55
00:10:27,54
00:10:42,54
00:10:57,54
00:11:02,55
00:11:17,55
00:11:32,55
00:11:37,56
00:11:42,56
00:11:47,58
00:11:52,58
00:11:57,56
00:12:02,54
00:12:17,53
00:12:32,53
00:12:42,54
00:12:47,55
00:12:52,56
00:12:57,55
00:13:07,56
00:13:12,54
00:13:22,55
00:13:37,56
00:13:47,57
00:13:52,56
00:14:07,55
00:14:17,54
00:14:32,54
00:14:37,56
00:14:47,55
00:14:57,56
00:15:07,57
00:15:17,56
00:15:32,56
00:15:37,57
00:15:42,58
00:15:52,59
00:16:02,57
00:16:07,56
00:16:12,55
00:16:17,54
00:16:32,54
00:16:37,55
00:16:52,55
00:16:57,54
00:17:03,54
00:17:08,55
00:17:18,56
00:17:23,55
00:17:28,56
00:17:38,55
00:17:48,56
00:17:53,56
00:18:03,54
00:18:13,55
00:18:28,55
00:18:43,55
00:18:48,56
00:18:53,55
00:18:58,54
00:19:08,53
00:19:13,54
00:19:18,55
00:19:23,54
00:19:33,55
00:19:38,56
00:19:53,59
00:19:58,70
00:20:03,73
00:20:08,72
00:20:13,69
00:20:18,64
00:20:23,58
00:20:28,56
00:20:33,57
00:20:43,55
00:20:48,52
00:20:58,51
00:21:13,52
00:21:23,53
00:21:28,54
00:21:33,53
00:21:43,52
00:21:58,53
00:22:13,53
00:22:18,54
00:22:33,54
00:22:48,54
00:23:03,55
00:23:08,54
00:23:23,54
00:23:38,54
00:23:48,55
00:23:58,54
00:24:13,54
00:24:23,55
00:24:38,54
00:24:53,54
00:24:58,54
00:25:13,54
00:25:23,55
00:25:38,55
00:25:43,54
00:25:48,53
00:26:03,53
00:26:08,52
00:26:13,53
00:26:18,54
00:26:23,53
00:26:33,54
00:26:38,55
00:26:53,55
00:26:58,56
00:27:03,55
00:27:08,53
00:27:13,51
00:27:23,52
00:27:38,53
00:27:48,54
00:27:58,55
00:28:08,54
00:28:23,54
00:28:33,55
00:28:38,54
00:28:53,54
00:28:58,54
00:29:13,54
00:29:28,54
00:29:38,55
00:29:43,56
00:29:58,56
00:30:03,55
00:30:18,55
00:30:23,56
00:30:28,55
00:30:33,56
00:30:43,55
00:30:58,55
00:31:13,54
00:31:23,55
00:31:28,56
00:31:33,54
00:31:38,53
00:31:43,52
00:31:48,51
00:32:03,51
00:32:18,51
00:32:28,53
00:32:33,54
00:32:38,53
00:32:53,53
00:32:54,53
00:33:04,54
00:33:19,54
00:33:24,55
00:33:39,55
00:33:49,56
00:33:54,57
00:33:59,55
00:34:04,52
00:34:19,54
00:34:34,55
00:34:39,54
00:34:54,54
00:35:09,54
00:35:14,55
00:35:24,54
00:35:39,54
00:35:54,54
00:36:09,55
00:36:14,56
00:36:24,55
00:36:29,56
00:36:44,55
00:36:59,56
00:37:14,55
00:37:19,54
00:37:34,54
00:37:39,54
00:37:54,54
00:38:09,55
00:38:24,55
00:38:34,56
00:38:49,56
00:39:04,57
00:39:09,56
00:39:24,56
00:39:39,56
00:39:49,55
00:39:59,54
00:40:04,55
00:40:09,54
00:40:19,53
00:40:29,54
00:40:34,55
00:40:49,56
00:40:59,55
00:41:14,56
00:41:19,55
00:41:34,55
00:41:39,54
00:41:54,54
00:42:09,54
00:42:14,55
00:42:29,55
00:42:34,54
00:42:49,54
00:42:59,55
00:43:14,55
00:43:24,54
00:43:29,55
00:43:44,55
00:43:54,56
00:44:09,56
00:44:24,55
00:44:39,55
00:44:44,54
00:44:49,53
00:45:04,54
00:45:09,55
00:45:14,54
00:45:19,53
00:45:24,54
00:45:34,55
00:45:44,56
00:45:59,55
