Time,Heart Rate
08:59:06,70
08:59:21,70
08:59:26,65
08:59:31,66
08:59:36,68
08:59:46,69
08:59:51,70
08:59:56,72
09:00:01,71
09:00:11,72
09:00:21,73
09:00:26,74
09:00:31,75
09:00:46,75
09:00:51,76
09:00:56,78
09:01:06,77
09:01:11,75
09:01:16,74
09:01:26,72
09:01:31,71
09:01:46,78
09:01:51,81
09:02:01,82
09:02:06,83
09:02:11,85
09:02:16,85
09:02:21,85
09:02:26,86
09:02:41,86
09:02:46,81
09:02:51,80
09:02:56,79
09:03:01,80
09:03:06,83
09:03:11,85
09:03:16,87
09:03:21,90
09:03:26,95
09:03:31,99
09:03:36,102
09:03:41,104
09:03:51,105
09:03:56,106
09:04:01,107
09:04:11,106
09:04:26,106
09:04:31,113
09:04:36,116
09:04:41,117
09:04:46,119
09:04:51,118
09:04:58,117
09:05:03,116
09:05:08,115
09:05:18,116
09:05:33,116
09:05:38,118
09:05:48,122
09:06:03,122
09:06:18,122
09:06:23,121
09:06:28,120
09:06:43,120
09:06:58,118
09:08:25,111
09:08:40,111
09:08:45,110
09:08:55,111
09:09:05,110
09:09:15,108
09:09:25,110
09:09:30,112
09:09:35,113
09:09:45,115
09:09:55,116
09:10:10,116
09:10:20,117
09:10:25,116
09:10:30,114
09:10:40,114
09:10:45,116
09:10:50,104
09:10:55,92
09:11:00,88
09:11:05,84
09:11:10,85
09:11:15,86
09:11:25,85
09:11:40,85
09:11:41,83
09:11:46,77
09:11:56,76
09:12:11,76
09:12:16,78
09:12:21,80
09:12:36,79
09:12:41,78
09:12:46,77
09:12:51,77
09:13:06,78
09:13:16,79
09:13:21,80
09:13:26,82
09:13:31,83
09:13:46,83
09:13:51,84
09:13:56,88
09:14:01,90
09:14:06,97
09:14:11,97
09:14:16,96
09:14:21,95
09:14:26,89
09:14:31,88
09:14:36,86
09:14:41,84
09:14:46,82
09:14:51,80
09:15:01,79
09:15:16,81
09:15:21,84
09:15:26,84
09:15:31,82
09:15:36,81
09:15:41,79
09:15:46,78
09:15:51,77
09:16:01,75
09:16:06,75
09:16:11,74
09:16:21,75
09:16:26,76
09:16:36,77
09:16:41,78
09:16:46,79
09:16:51,78
09:16:56,77
09:17:01,78
09:17:16,77
09:17:21,76
09:17:36,76
09:17:41,77
09:17:56,76
09:18:01,76
09:18:11,75
09:18:21,76
09:18:36,76
09:18:46,77
09:18:51,76
09:19:01,75
09:19:06,74
09:19:11,72
09:19:21,73
09:19:26,74
09:19:41,74
09:19:46,73
09:19:51,71
09:19:56,72
09:20:01,73
09:20:06,75
09:20:16,77
09:20:21,76
09:20:26,75
09:20:41,75
09:20:56,76
09:21:11,76
09:21:16,77
09:21:26,76
09:21:31,76
09:21:36,77
09:21:41,77
09:21:56,77
09:22:11,76
09:22:16,72
09:22:21,73
09:22:31,74
09:22:36,73
09:22:41,73
09:22:46,72
09:22:56,73
09:23:06,74
09:23:16,75
09:23:21,75
09:23:31,74
09:23:41,75
09:23:51,76
09:23:56,77
09:24:01,77
09:24:16,77
09:24:21,79
09:24:26,80
09:24:41,81
09:24:56,80
09:25:06,82
09:25:11,83
09:25:16,84
09:25:21,86
09:25:26,85
09:25:31,84
09:25:36,83
09:25:41,82
09:25:46,81
09:25:51,80
09:26:01,72
09:26:11,73
09:26:21,74
09:26:26,76
09:26:41,76
09:26:51,77
09:27:06,77
09:27:16,78
09:27:26,77
09:27:36,78
09:27:41,78
09:27:46,79
09:27:56,78
09:28:06,79
09:28:11,80
09:28:16,79
09:28:26,80
09:28:41,80
09:28:46,81
09:28:51,83
09:28:56,84
09:29:02,84
09:29:07,83
09:29:12,85
09:29:17,84
09:29:22,85
09:29:32,86
09:29:42,85
09:29:52,84
09:29:57,82
09:30:02,81
09:30:07,77
09:30:12,71
09:30:17,72
09:30:22,72
09:30:32,73
09:30:42,74
09:30:57,75
09:31:12,78
09:31:17,79
09:31:22,82
09:31:27,95
09:31:32,97
09:31:47,98
09:31:57,99
09:32:02,101
09:32:07,104
09:32:12,111
09:32:17,113
09:32:32,116
09:32:42,119
09:32:47,117
09:32:52,115
09:32:57,113
09:33:02,109
09:33:07,102
09:33:12,101
09:33:17,102
09:33:22,103
09:33:27,101
09:33:32,99
09:33:37,93
09:33:42,94
09:33:47,90
09:33:52,88
09:33:57,87
09:34:12,89
09:34:27,88
09:34:37,87
09:34:47,86
09:34:52,85
09:35:02,86
09:35:17,87
09:35:27,88
09:35:32,88
09:35:37,89
09:35:42,88
09:35:52,89
09:35:57,90
09:36:02,89
09:36:17,90
09:36:22,92
09:36:32,93
09:36:37,93
09:36:52,94
09:37:02,96
09:37:07,97
09:37:12,98
09:37:17,99
09:37:22,100
09:37:32,101
09:37:42,102
09:37:47,107
09:37:52,109
09:37:57,108
09:38:02,103
09:38:07,104
09:38:12,107
09:38:17,110
09:38:22,107
09:38:32,109
09:38:37,110
09:38:42,112
09:38:47,113
09:38:52,118
09:38:57,115
09:39:02,114
09:39:07,112
09:39:12,111
09:39:22,115
09:39:27,118
09:39:42,119
09:39:47,120
09:39:57,122
09:40:02,123
09:40:07,123
09:40:17,120
09:40:22,116
09:40:27,115
09:40:32,114
09:40:37,115
09:40:47,115
09:40:52,113
09:40:57,109
09:41:02,107
09:41:12,104
09:41:17,101
09:41:22,93
09:41:27,89
09:41:32,85
09:41:47,85
09:41:52,84
09:41:57,80
09:42:02,79
09:42:12,80
09:42:17,81
09:42:22,83
09:42:27,82
09:42:37,83
09:42:47,81
09:42:52,80
09:43:02,79
09:43:12,77
09:43:17,74
09:43:22,73
09:43:27,73
09:43:32,72
09:43:37,71
09:43:52,71
09:43:57,71
09:44:02,72
09:44:07,72
09:44:12,73
09:44:17,80
09:44:23,87
09:44:28,88
09:44:33,86
09:44:43,84
09:44:58,84
09:45:03,85
09:45:08,79
09:45:13,75
09:45:18,69
09:45:23,71
09:45:33,72
09:45:38,73
09:45:48,74
09:45:53,75
09:46:08,75
09:46:13,74
09:46:28,74
09:46:33,75
09:46:38,76
09:46:43,77
09:46:48,78
09:46:53,79
09:47:08,80
09:47:13,81
09:47:18,83
09:47:23,87
09:47:33,86
09:47:38,85
09:47:43,83
09:47:48,82
09:47:53,81
09:48:08,80
09:48:18,79
09:48:28,78
09:48:33,77
09:48:43,78
09:48:48,79
09:48:58,78
09:49:03,79
09:49:08,78
09:49:13,77
09:49:23,74
09:49:28,73
09:49:33,74
